#EPSG;Name;IsGeographic
4190;"POSGAR 98";True
4191;"Albanian 1987";True
4192;"Douala 1948";True
4193;"Manoca 1962";True
4194;"Qornoq 1927";True
4195;"Scoresbysund 1952";True
4196;"Ammassalik 1958";True
4197;"Garoua";True
4198;"Kousseri";True
4199;"Egypt 1930";True
4200;"Pulkovo 1995";True
4201;"Adindan";True
4202;"AGD66";True
4203;"AGD84";True
4204;"Ain el Abd";True
4205;"Afgooye";True
4206;"Agadez";True
4207;"Lisbon";True
4208;"Aratu";True
4209;"Arc 1950";True
4210;"Arc 1960";True
4211;"Batavia";True
4212;"Barbados 1938";True
4213;"Beduaram";True
4214;"Beijing 1954";True
4215;"Belge 1950";True
4216;"Bermuda 1957";True
4218;"Bogota 1975";True
4219;"Bukit Rimpah";True
4220;"Camacupa";True
4221;"Campo Inchauspe";True
4222;"Cape";True
4223;"Carthage";True
4224;"Chua";True
4225;"Corrego Alegre 1970-72";True
4226;"Cote d'Ivoire";True
4227;"Deir ez Zor";True
4228;"Douala";True
4229;"Egypt 1907";True
4230;"ED50";True
4231;"ED87";True
4232;"Fahud";True
4233;"Gandajika 1970";True
4234;"Garoua";True
4235;"Guyane Francaise";True
4236;"Hu Tzu Shan 1950";True
4237;"HD72";True
4238;"ID74";True
4239;"Indian 1954";True
4240;"Indian 1975";True
4241;"Jamaica 1875";True
4242;"JAD69";True
4243;"Kalianpur 1880";True
4244;"Kandawala";True
4245;"Kertau 1968";True
4246;"KOC";True
4247;"La Canoa";True
4248;"PSAD56";True
4249;"Lake";True
4250;"Leigon";True
4251;"Liberia 1964";True
4252;"Lome";True
4253;"Luzon 1911";True
4254;"Hito XVIII 1963";True
4255;"Herat North";True
4256;"Mahe 1971";True
4257;"Makassar";True
4258;"ETRS89";True
4259;"Malongo 1987";True
4260;"Manoca";True
4261;"Merchich";True
4262;"Massawa";True
4263;"Minna";True
4264;"Mhast";True
4265;"Monte Mario";True
4266;"M'poraloko";True
4267;"NAD27";True
4268;"NAD27 Michigan";True
4269;"NAD83";True
4270;"Nahrwan 1967";True
4271;"Naparima 1972";True
4272;"NZGD49";True
4273;"NGO 1948";True
4274;"Datum 73";True
4275;"NTF";True
4276;"NSWC 9Z-2";True
4277;"OSGB 1936";True
4278;"OSGB70";True
4279;"OS(SN)80";True
4280;"Padang";True
4281;"Palestine 1923";True
4282;"Pointe Noire";True
4283;"GDA94";True
4284;"Pulkovo 1942";True
4285;"Qatar 1974";True
4286;"Qatar 1948";True
4287;"Qornoq";True
4288;"Loma Quintana";True
4289;"Amersfoort";True
4291;"SAD69";True
4292;"Sapper Hill 1943";True
4293;"Schwarzeck";True
4294;"Segora";True
4295;"Serindung";True
4296;"Sudan";True
4297;"Tananarive";True
4298;"Timbalai 1948";True
4299;"TM65";True
4300;"TM75";True
4301;"Tokyo";True
4302;"Trinidad 1903";True
4303;"TC(1948)";True
4304;"Voirol 1875";True
4306;"Bern 1938";True
4307;"Nord Sahara 1959";True
4308;"RT38";True
4309;"Yacare";True
4310;"Yoff";True
4311;"Zanderij";True
4312;"MGI";True
4313;"Belge 1972";True
4314;"DHDN";True
4315;"Conakry 1905";True
4316;"Dealul Piscului 1930";True
4317;"Dealul Piscului 1970";True
4318;"NGN";True
4319;"KUDAMS";True
4322;"WGS 72";True
4324;"WGS 72BE";True
4326;"WGS 84";True
4600;"Anguilla 1957";True
4601;"Antigua 1943";True
4602;"Dominica 1945";True
4603;"Grenada 1953";True
4604;"Montserrat 1958";True
4605;"St. Kitts 1955";True
4606;"St. Lucia 1955";True
4607;"St. Vincent 1945";True
4608;"NAD27(76)";True
4609;"NAD27(CGQ77)";True
4610;"Xian 1980";True
4611;"Hong Kong 1980";True
4612;"JGD2000";True
4613;"Segara";True
4614;"QND95";True
4615;"Porto Santo";True
4616;"Selvagem Grande";True
4617;"NAD83(CSRS)";True
4618;"SAD69";True
4619;"SWEREF99";True
4620;"Point 58";True
4621;"Fort Marigot";True
4622;"Guadeloupe 1948";True
4623;"CSG67";True
4624;"RGFG95";True
4625;"Martinique 1938";True
4626;"Reunion 1947";True
4627;"RGR92";True
4628;"Tahiti 52";True
4629;"Tahaa 54";True
4630;"IGN72 Nuku Hiva";True
4631;"K0 1949";True
4632;"Combani 1950";True
4633;"IGN56 Lifou";True
4634;"IGN72 Grand Terre";True
4635;"ST87 Ouvea";True
4636;"Petrels 1972";True
4637;"Perroud 1950";True
4638;"Saint Pierre et Miquelon 1950";True
4639;"MOP78";True
4640;"RRAF 1991";True
4641;"IGN53 Mare";True
4642;"ST84 Ile des Pins";True
4643;"ST71 Belep";True
4644;"NEA74 Noumea";True
4645;"RGNC 1991";True
4646;"Grand Comoros";True
4657;"Reykjavik 1900";True
4658;"Hjorsey 1955";True
4659;"ISN93";True
4660;"Helle 1954";True
4661;"LKS92";True
4662;"IGN72 Grande Terre";True
4663;"Porto Santo 1995";True
4664;"Azores Oriental 1995";True
4665;"Azores Central 1995";True
4666;"Lisbon 1890";True
4667;"IKBD-92";True
4668;"ED79";True
4669;"LKS94";True
4670;"IGM95";True
4671;"Voirol 1879";True
4672;"Chatham Islands 1971";True
4673;"Chatham Islands 1979";True
4674;"SIRGAS 2000";True
4675;"Guam 1963";True
4676;"Vientiane 1982";True
4677;"Lao 1993";True
4678;"Lao 1997";True
4679;"Jouik 1961";True
4680;"Nouakchott 1965";True
4681;"Mauritania 1999";True
4682;"Gulshan 303";True
4683;"PRS92";True
4684;"Gan 1970";True
4685;"Gandajika";True
4686;"MAGNA-SIRGAS";True
4687;"RGPF";True
4688;"Fatu Iva 72";True
4689;"IGN63 Hiva Oa";True
4690;"Tahiti 79";True
4691;"Moorea 87";True
4692;"Maupiti 83";True
4693;"Nakhl-e Ghanem";True
4694;"POSGAR 94";True
4695;"Katanga 1955";True
4696;"Kasai 1953";True
4697;"IGC 1962 6th Parallel South";True
4698;"IGN 1962 Kerguelen";True
4699;"Le Pouce 1934";True
4700;"IGN Astro 1960";True
4701;"IGCB 1955";True
4702;"Mauritania 1999";True
4703;"Mhast 1951";True
4704;"Mhast (onshore)";True
4705;"Mhast (offshore)";True
4706;"Egypt Gulf of Suez S-650 TL";True
4707;"Tern Island 1961";True
4708;"Cocos Islands 1965";True
4709;"Iwo Jima 1945";True
4710;"St. Helena 1971";True
4711;"Marcus Island 1952";True
4712;"Ascension Island 1958";True
4713;"Ayabelle Lighthouse";True
4714;"Bellevue";True
4715;"Camp Area Astro";True
4716;"Phoenix Islands 1966";True
4717;"Cape Canaveral";True
4718;"Solomon 1968";True
4719;"Easter Island 1967";True
4720;"Fiji 1986";True
4721;"Fiji 1956";True
4722;"South Georgia 1968";True
4723;"Grand Cayman 1959";True
4724;"Diego Garcia 1969";True
4725;"Johnston Island 1961";True
4726;"Little Cayman 1961";True
4727;"Midway 1961";True
4728;"Pico de las Nieves 1984";True
4729;"Pitcairn 1967";True
4730;"Santo 1965";True
4731;"Viti Levu 1916";True
4732;"Marshall Islands 1960";True
4733;"Wake Island 1952";True
4734;"Tristan 1968";True
4735;"Kusaie 1951";True
4736;"Deception Island";True
4737;"Korea 2000";True
4738;"Hong Kong 1963";True
4739;"Hong Kong 1963(67)";True
4740;"PZ-90";True
4741;"FD54";True
4742;"GDM2000";True
4743;"Karbala 1979";True
4744;"Nahrwan 1934";True
4745;"RD/83";True
4746;"PD/83";True
4747;"GR96";True
4748;"Vanua Levu 1915";True
4749;"RGNC91-93";True
4750;"ST87 Ouvea";True
4751;"Kertau (RSO)";True
4752;"Viti Levu 1912";True
4753;"fk89";True
4754;"LGD2006";True
4755;"DGN95";True
4756;"VN-2000";True
4757;"SVY21";True
4758;"JAD2001";True
4759;"NAD83(NSRS2007)";True
4760;"WGS 66";True
4761;"HTRS96";True
4762;"BDA2000";True
4763;"Pitcairn 2006";True
4764;"RSRGD2000";True
4765;"Slovenia 1996";True
4801;"Bern 1898 (Bern)";True
4802;"Bogota 1975 (Bogota)";True
4803;"Lisbon (Lisbon)";True
4804;"Makassar (Jakarta)";True
4805;"MGI (Ferro)";True
4806;"Monte Mario (Rome)";True
4807;"NTF (Paris)";True
4808;"Padang (Jakarta)";True
4809;"Belge 1950 (Brussels)";True
4810;"Tananarive (Paris)";True
4811;"Voirol 1875 (Paris)";True
4813;"Batavia (Jakarta)";True
4814;"RT38 (Stockholm)";True
4815;"Greek (Athens)";True
4816;"Carthage (Paris)";True
4817;"NGO 1948 (Oslo)";True
4818;"S-JTSK (Ferro)";True
4819;"Nord Sahara 1959 (Paris)";True
4820;"Segara (Jakarta)";True
4821;"Voirol 1879 (Paris)";True
4901;"ATF (Paris)";True
4902;"NDG (Paris)";True
4903;"Madrid 1870 (Madrid)";True
4904;"Lisbon 1890 (Lisbon)";True
2000;"Anguilla 1957 / British West Indies Grid";False
2001;"Antigua 1943 / British West Indies Grid";False
2002;"Dominica 1945 / British West Indies Grid";False
2003;"Grenada 1953 / British West Indies Grid";False
2004;"Montserrat 1958 / British West Indies Grid";False
2005;"St. Kitts 1955 / British West Indies Grid";False
2006;"St. Lucia 1955 / British West Indies Grid";False
2007;"St. Vincent 45 / British West Indies Grid";False
2008;"NAD27(CGQ77) / SCoPQ zone 2 (deprecated)";False
2009;"NAD27(CGQ77) / SCoPQ zone 3";False
2010;"NAD27(CGQ77) / SCoPQ zone 4";False
2011;"NAD27(CGQ77) / SCoPQ zone 5";False
2012;"NAD27(CGQ77) / SCoPQ zone 6";False
2013;"NAD27(CGQ77) / SCoPQ zone 7";False
2014;"NAD27(CGQ77) / SCoPQ zone 8";False
2015;"NAD27(CGQ77) / SCoPQ zone 9";False
2016;"NAD27(CGQ77) / SCoPQ zone 10";False
2017;"NAD27(76) / MTM zone 8";False
2018;"NAD27(76) / MTM zone 9";False
2019;"NAD27(76) / MTM zone 10";False
2020;"NAD27(76) / MTM zone 11";False
2021;"NAD27(76) / MTM zone 12";False
2022;"NAD27(76) / MTM zone 13";False
2023;"NAD27(76) / MTM zone 14";False
2024;"NAD27(76) / MTM zone 15";False
2025;"NAD27(76) / MTM zone 16";False
2026;"NAD27(76) / MTM zone 17";False
2027;"NAD27(76) / UTM zone 15N";False
2028;"NAD27(76) / UTM zone 16N";False
2029;"NAD27(76) / UTM zone 17N";False
2030;"NAD27(76) / UTM zone 18N";False
2031;"NAD27(CGQ77) / UTM zone 17N";False
2032;"NAD27(CGQ77) / UTM zone 18N";False
2033;"NAD27(CGQ77) / UTM zone 19N";False
2034;"NAD27(CGQ77) / UTM zone 20N";False
2035;"NAD27(CGQ77) / UTM zone 21N";False
2036;"NAD83(CSRS98) / New Brunswick Stereo (deprecated)";False
2037;"NAD83(CSRS98) / UTM zone 19N (deprecated)";False
2038;"NAD83(CSRS98) / UTM zone 20N (deprecated)";False
2039;"Israel / Israeli TM Grid";False
2040;"Locodjo 1965 / UTM zone 30N";False
2041;"Abidjan 1987 / UTM zone 30N";False
2042;"Locodjo 1965 / UTM zone 29N";False
2043;"Abidjan 1987 / UTM zone 29N";False
2044;"Hanoi 1972 / Gauss-Kruger zone 18";False
2045;"Hanoi 1972 / Gauss-Kruger zone 19";False
2046;"Hartebeesthoek94 / Lo15";False
2047;"Hartebeesthoek94 / Lo17";False
2048;"Hartebeesthoek94 / Lo19";False
2049;"Hartebeesthoek94 / Lo21";False
2050;"Hartebeesthoek94 / Lo23";False
2051;"Hartebeesthoek94 / Lo25";False
2052;"Hartebeesthoek94 / Lo27";False
2053;"Hartebeesthoek94 / Lo29";False
2054;"Hartebeesthoek94 / Lo31";False
2055;"Hartebeesthoek94 / Lo33";False
2056;"CH1903+ / LV95";False
2057;"Rassadiran / Nakhl e Taqi";False
2058;"ED50(ED77) / UTM zone 38N";False
2059;"ED50(ED77) / UTM zone 39N";False
2060;"ED50(ED77) / UTM zone 40N";False
2061;"ED50(ED77) / UTM zone 41N";False
2062;"Madrid 1870 (Madrid) / Spain";False
2063;"Dabola 1981 / UTM zone 28N (deprecated)";False
2064;"Dabola 1981 / UTM zone 29N (deprecated)";False
2065;"S-JTSK (Ferro) / Krovak";False
2066;"Mount Dillon / Tobago Grid";False
2067;"Naparima 1955 / UTM zone 20N";False
2068;"ELD79 / Libya zone 5";False
2069;"ELD79 / Libya zone 6";False
2070;"ELD79 / Libya zone 7";False
2071;"ELD79 / Libya zone 8";False
2072;"ELD79 / Libya zone 9";False
2073;"ELD79 / Libya zone 10";False
2074;"ELD79 / Libya zone 11";False
2075;"ELD79 / Libya zone 12";False
2076;"ELD79 / Libya zone 13";False
2077;"ELD79 / UTM zone 32N";False
2078;"ELD79 / UTM zone 33N";False
2079;"ELD79 / UTM zone 34N";False
2080;"ELD79 / UTM zone 35N";False
2081;"Chos Malal 1914 / Argentina 2";False
2082;"Pampa del Castillo / Argentina 2";False
2083;"Hito XVIII 1963 / Argentina 2";False
2084;"Hito XVIII 1963 / UTM zone 19S";False
2085;"NAD27 / Cuba Norte (deprecated)";False
2086;"NAD27 / Cuba Sur (deprecated)";False
2087;"ELD79 / TM 12 NE";False
2088;"Carthage / TM 11 NE";False
2089;"Yemen NGN96 / UTM zone 38N";False
2090;"Yemen NGN96 / UTM zone 39N";False
2091;"South Yemen / Gauss Kruger zone 8 (deprecated)";False
2092;"South Yemen / Gauss Kruger zone 9 (deprecated)";False
2093;"Hanoi 1972 / GK 106 NE";False
2094;"WGS 72BE / TM 106 NE";False
2095;"Bissau / UTM zone 28N";False
2096;"Korean 1985 / East Belt";False
2097;"Korean 1985 / Central Belt";False
2098;"Korean 1985 / West Belt";False
2099;"Qatar 1948 / Qatar Grid";False
2100;"GGRS87 / Greek Grid";False
2101;"Lake / Maracaibo Grid M1";False
2102;"Lake / Maracaibo Grid";False
2103;"Lake / Maracaibo Grid M3";False
2104;"Lake / Maracaibo La Rosa Grid";False
2105;"NZGD2000 / Mount Eden 2000";False
2106;"NZGD2000 / Bay of Plenty 2000";False
2107;"NZGD2000 / Poverty Bay 2000";False
2108;"NZGD2000 / Hawkes Bay 2000";False
2109;"NZGD2000 / Taranaki 2000";False
2110;"NZGD2000 / Tuhirangi 2000";False
2111;"NZGD2000 / Wanganui 2000";False
2112;"NZGD2000 / Wairarapa 2000";False
2113;"NZGD2000 / Wellington 2000";False
2114;"NZGD2000 / Collingwood 2000";False
2115;"NZGD2000 / Nelson 2000";False
2116;"NZGD2000 / Karamea 2000";False
2117;"NZGD2000 / Buller 2000";False
2118;"NZGD2000 / Grey 2000";False
2119;"NZGD2000 / Amuri 2000";False
2120;"NZGD2000 / Marlborough 2000";False
2121;"NZGD2000 / Hokitika 2000";False
2122;"NZGD2000 / Okarito 2000";False
2123;"NZGD2000 / Jacksons Bay 2000";False
2124;"NZGD2000 / Mount Pleasant 2000";False
2125;"NZGD2000 / Gawler 2000";False
2126;"NZGD2000 / Timaru 2000";False
2127;"NZGD2000 / Lindis Peak 2000";False
2128;"NZGD2000 / Mount Nicholas 2000";False
2129;"NZGD2000 / Mount York 2000";False
2130;"NZGD2000 / Observation Point 2000";False
2131;"NZGD2000 / North Taieri 2000";False
2132;"NZGD2000 / Bluff 2000";False
2133;"NZGD2000 / UTM zone 58S";False
2134;"NZGD2000 / UTM zone 59S";False
2135;"NZGD2000 / UTM zone 60S";False
2136;"Accra / Ghana National Grid";False
2137;"Accra / TM 1 NW";False
2138;"NAD27(CGQ77) / Quebec Lambert";False
2139;"NAD83(CSRS98) / SCoPQ zone 2 (deprecated)";False
2140;"NAD83(CSRS98) / MTM zone 3 (deprecated)";False
2141;"NAD83(CSRS98) / MTM zone 4 (deprecated)";False
2142;"NAD83(CSRS98) / MTM zone 5 (deprecated)";False
2143;"NAD83(CSRS98) / MTM zone 6 (deprecated)";False
2144;"NAD83(CSRS98) / MTM zone 7 (deprecated)";False
2145;"NAD83(CSRS98) / MTM zone 8 (deprecated)";False
2146;"NAD83(CSRS98) / MTM zone 9 (deprecated)";False
2147;"NAD83(CSRS98) / MTM zone 10 (deprecated)";False
2148;"NAD83(CSRS98) / UTM zone 21N (deprecated)";False
2149;"NAD83(CSRS98) / UTM zone 18N (deprecated)";False
2150;"NAD83(CSRS98) / UTM zone 17N (deprecated)";False
2151;"NAD83(CSRS98) / UTM zone 13N (deprecated)";False
2152;"NAD83(CSRS98) / UTM zone 12N (deprecated)";False
2153;"NAD83(CSRS98) / UTM zone 11N (deprecated)";False
2154;"RGF93 / Lambert-93";False
2155;"American Samoa 1962 / American Samoa Lambert (deprecated)";False
2156;"NAD83(HARN) / UTM zone 59S (deprecated)";False
2157;"IRENET95 / Irish Transverse Mercator";False
2158;"IRENET95 / UTM zone 29N";False
2159;"Sierra Leone 1924 / New Colony Grid";False
2160;"Sierra Leone 1924 / New War Office Grid";False
2161;"Sierra Leone 1968 / UTM zone 28N";False
2162;"Sierra Leone 1968 / UTM zone 29N";False
2163;"US National Atlas Equal Area";False
2164;"Locodjo 1965 / TM 5 NW";False
2165;"Abidjan 1987 / TM 5 NW";False
2166;"Pulkovo 1942(83) / Gauss Kruger zone 3 (deprecated)";False
2167;"Pulkovo 1942(83) / Gauss Kruger zone 4 (deprecated)";False
2168;"Pulkovo 1942(83) / Gauss Kruger zone 5 (deprecated)";False
2169;"Luxembourg 1930 / Gauss";False
2170;"MGI / Slovenia Grid (deprecated)";False
2171;"Pulkovo 1942(58) / Poland zone I (deprecated)";False
2172;"Pulkovo 1942(58) / Poland zone II";False
2173;"Pulkovo 1942(58) / Poland zone III";False
2174;"Pulkovo 1942(58) / Poland zone IV";False
2175;"Pulkovo 1942(58) / Poland zone V";False
2176;"ETRS89 / Poland CS2000 zone 5";False
2177;"ETRS89 / Poland CS2000 zone 6";False
2178;"ETRS89 / Poland CS2000 zone 7";False
2179;"ETRS89 / Poland CS2000 zone 8";False
2180;"ETRS89 / Poland CS92";False
2188;"Azores Occidental 1939 / UTM zone 25N";False
2189;"Azores Central 1948 / UTM zone 26N";False
2190;"Azores Oriental 1940 / UTM zone 26N";False
2191;"Madeira 1936 / UTM zone 28N (deprecated)";False
2192;"ED50 / France EuroLambert";False
2193;"NZGD2000 / New Zealand Transverse Mercator 2000";False
2194;"American Samoa 1962 / American Samoa Lambert (deprecated)";False
2195;"NAD83(HARN) / UTM zone 2S";False
2196;"ETRS89 / Kp2000 Jutland";False
2197;"ETRS89 / Kp2000 Zealand";False
2198;"ETRS89 / Kp2000 Bornholm";False
2199;"Albanian 1987 / Gauss Kruger zone 4 (deprecated)";False
2200;"ATS77 / New Brunswick Stereographic (ATS77)";False
2201;"REGVEN / UTM zone 18N";False
2202;"REGVEN / UTM zone 19N";False
2203;"REGVEN / UTM zone 20N";False
2204;"NAD27 / Tennessee";False
2205;"NAD83 / Kentucky North";False
2206;"ED50 / 3-degree Gauss-Kruger zone 9";False
2207;"ED50 / 3-degree Gauss-Kruger zone 10";False
2208;"ED50 / 3-degree Gauss-Kruger zone 11";False
2209;"ED50 / 3-degree Gauss-Kruger zone 12";False
2210;"ED50 / 3-degree Gauss-Kruger zone 13";False
2211;"ED50 / 3-degree Gauss-Kruger zone 14";False
2212;"ED50 / 3-degree Gauss-Kruger zone 15";False
2213;"ETRS89 / TM 30 NE";False
2214;"Douala 1948 / AOF west (deprecated)";False
2215;"Manoca 1962 / UTM zone 32N";False
2216;"Qornoq 1927 / UTM zone 22N";False
2217;"Qornoq 1927 / UTM zone 23N";False
2219;"ATS77 / UTM zone 19N";False
2220;"ATS77 / UTM zone 20N";False
2222;"NAD83 / Arizona East (ft)";False
2223;"NAD83 / Arizona Central (ft)";False
2224;"NAD83 / Arizona West (ft)";False
2225;"NAD83 / California zone 1 (ftUS)";False
2226;"NAD83 / California zone 2 (ftUS)";False
2227;"NAD83 / California zone 3 (ftUS)";False
2228;"NAD83 / California zone 4 (ftUS)";False
2229;"NAD83 / California zone 5 (ftUS)";False
2230;"NAD83 / California zone 6 (ftUS)";False
2231;"NAD83 / Colorado North (ftUS)";False
2232;"NAD83 / Colorado Central (ftUS)";False
2233;"NAD83 / Colorado South (ftUS)";False
2234;"NAD83 / Connecticut (ftUS)";False
2235;"NAD83 / Delaware (ftUS)";False
2236;"NAD83 / Florida East (ftUS)";False
2237;"NAD83 / Florida West (ftUS)";False
2238;"NAD83 / Florida North (ftUS)";False
2239;"NAD83 / Georgia East (ftUS)";False
2240;"NAD83 / Georgia West (ftUS)";False
2241;"NAD83 / Idaho East (ftUS)";False
2242;"NAD83 / Idaho Central (ftUS)";False
2243;"NAD83 / Idaho West (ftUS)";False
2244;"NAD83 / Indiana East (ftUS) (deprecated)";False
2245;"NAD83 / Indiana West (ftUS) (deprecated)";False
2246;"NAD83 / Kentucky North (ftUS)";False
2247;"NAD83 / Kentucky South (ftUS)";False
2248;"NAD83 / Maryland (ftUS)";False
2249;"NAD83 / Massachusetts Mainland (ftUS)";False
2250;"NAD83 / Massachusetts Island (ftUS)";False
2251;"NAD83 / Michigan North (ft)";False
2252;"NAD83 / Michigan Central (ft)";False
2253;"NAD83 / Michigan South (ft)";False
2254;"NAD83 / Mississippi East (ftUS)";False
2255;"NAD83 / Mississippi West (ftUS)";False
2256;"NAD83 / Montana (ft)";False
2257;"NAD83 / New Mexico East (ftUS)";False
2258;"NAD83 / New Mexico Central (ftUS)";False
2259;"NAD83 / New Mexico West (ftUS)";False
2260;"NAD83 / New York East (ftUS)";False
2261;"NAD83 / New York Central (ftUS)";False
2262;"NAD83 / New York West (ftUS)";False
2263;"NAD83 / New York Long Island (ftUS)";False
2264;"NAD83 / North Carolina (ftUS)";False
2265;"NAD83 / North Dakota North (ft)";False
2266;"NAD83 / North Dakota South (ft)";False
2267;"NAD83 / Oklahoma North (ftUS)";False
2268;"NAD83 / Oklahoma South (ftUS)";False
2269;"NAD83 / Oregon North (ft)";False
2270;"NAD83 / Oregon South (ft)";False
2271;"NAD83 / Pennsylvania North (ftUS)";False
2272;"NAD83 / Pennsylvania South (ftUS)";False
2273;"NAD83 / South Carolina (ft)";False
2274;"NAD83 / Tennessee (ftUS)";False
2275;"NAD83 / Texas North (ftUS)";False
2276;"NAD83 / Texas North Central (ftUS)";False
2277;"NAD83 / Texas Central (ftUS)";False
2278;"NAD83 / Texas South Central (ftUS)";False
2279;"NAD83 / Texas South (ftUS)";False
2280;"NAD83 / Utah North (ft)";False
2281;"NAD83 / Utah Central (ft)";False
2282;"NAD83 / Utah South (ft)";False
2283;"NAD83 / Virginia North (ftUS)";False
2284;"NAD83 / Virginia South (ftUS)";False
2285;"NAD83 / Washington North (ftUS)";False
2286;"NAD83 / Washington South (ftUS)";False
2287;"NAD83 / Wisconsin North (ftUS)";False
2288;"NAD83 / Wisconsin Central (ftUS)";False
2289;"NAD83 / Wisconsin South (ftUS)";False
2290;"ATS77 / Prince Edward Isl. Stereographic (ATS77)";False
2291;"NAD83(CSRS98) / Prince Edward Isl. Stereographic (NAD83) (deprecated)";False
2292;"NAD83(CSRS98) / Prince Edward Isl. Stereographic (NAD83) (deprecated)";False
2294;"ATS77 / MTM Nova Scotia zone 4";False
